jugador;premio;anyo;liga
clarkfr01;Baseball Magazine All-Star;1911;NL
mathech01;Baseball Magazine All-Star;1911;NL
marquru01;Baseball Magazine All-Star;1911;NL
alexape01;Baseball Magazine All-Star;1911;NL
ruckena01;Baseball Magazine All-Star;1911;NL
schulfr01;Baseball Magazine All-Star;1911;NL
wagneho01;Baseball Magazine All-Star;1911;NL
cobbty01;Most Valuable Player;1911;AL
schulfr01;Most Valuable Player;1911;NL
mcinnst01;Baseball Magazine All-Star;1912;AL
collied01;Baseball Magazine All-Star;1912;AL
gardnla01;Baseball Magazine All-Star;1912;AL
stanaos01;Baseball Magazine All-Star;1912;AL
ainsmed01;Baseball Magazine All-Star;1912;AL
cobbty01;Baseball Magazine All-Star;1912;AL
jacksjo01;Baseball Magazine All-Star;1912;AL
speaktr01;Baseball Magazine All-Star;1912;AL
johnswa01;Baseball Magazine All-Star;1912;AL
woodjo02;Baseball Magazine All-Star;1912;AL
planked01;Baseball Magazine All-Star;1912;AL
wagnehe01;Baseball Magazine All-Star;1912;AL
daubeja01;Baseball Magazine All-Star;1912;ML
eversjo01;Baseball Magazine All-Star;1912;ML
zimmehe01;Baseball Magazine All-Star;1912;ML
archeji01;Baseball Magazine All-Star;1912;ML
meyerch01;Baseball Magazine All-Star;1912;ML
cobbty01;Baseball Magazine All-Star;1912;ML
jacksjo01;Baseball Magazine All-Star;1912;ML
speaktr01;Baseball Magazine All-Star;1912;ML
johnswa01;Baseball Magazine All-Star;1912;ML
woodjo02;Baseball Magazine All-Star;1912;ML
ruckena01;Baseball Magazine All-Star;1912;ML
wagneho01;Baseball Magazine All-Star;1912;ML
daubeja01;Baseball Magazine All-Star;1912;NL
eversjo01;Baseball Magazine All-Star;1912;NL
zimmehe01;Baseball Magazine All-Star;1912;NL
archeji01;Baseball Magazine All-Star;1912;NL
meyerch01;Baseball Magazine All-Star;1912;NL
mageesh01;Baseball Magazine All-Star;1912;NL
paskedo01;Baseball Magazine All-Star;1912;NL
wilsoch01;Baseball Magazine All-Star;1912;NL
tesreje01;Baseball Magazine All-Star;1912;NL
mathech01;Baseball Magazine All-Star;1912;NL
ruckena01;Baseball Magazine All-Star;1912;NL
wagneho01;Baseball Magazine All-Star;1912;NL
speaktr01;Most Valuable Player;1912;AL
doylela01;Most Valuable Player;1912;NL
mcinnst01;Baseball Magazine All-Star;1913;AL
collied01;Baseball Magazine All-Star;1913;AL
bakerfr01;Baseball Magazine All-Star;1913;AL
schanwa01;Baseball Magazine All-Star;1913;AL
cobbty01;Baseball Magazine All-Star;1913;AL
jacksjo01;Baseball Magazine All-Star;1913;AL
speaktr01;Baseball Magazine All-Star;1913;AL
johnswa01;Baseball Magazine All-Star;1913;AL
falkecy01;Baseball Magazine All-Star;1913;AL
barryja01;Baseball Magazine All-Star;1913;AL
daubeja01;Baseball Magazine All-Star;1913;ML
collied01;Baseball Magazine All-Star;1913;ML
bakerfr01;Baseball Magazine All-Star;1913;ML
archeji01;Baseball Magazine All-Star;1913;ML
cobbty01;Baseball Magazine All-Star;1913;ML
jacksjo01;Baseball Magazine All-Star;1913;ML
speaktr01;Baseball Magazine All-Star;1913;ML
johnswa01;Baseball Magazine All-Star;1913;ML
mathech01;Baseball Magazine All-Star;1913;ML
wagneho01;Baseball Magazine All-Star;1913;ML
daubeja01;Baseball Magazine All-Star;1913;NL
vioxji01;Baseball Magazine All-Star;1913;NL
zimmehe01;Baseball Magazine All-Star;1913;NL
archeji01;Baseball Magazine All-Star;1913;NL
cravaga01;Baseball Magazine All-Star;1913;NL
leachto01;Baseball Magazine All-Star;1913;NL
wheatza01;Baseball Magazine All-Star;1913;NL
mathech01;Baseball Magazine All-Star;1913;NL
alexape01;Baseball Magazine All-Star;1913;NL
wagneho01;Baseball Magazine All-Star;1913;NL
johnswa01;Most Valuable Player;1913;AL
daubeja01;Most Valuable Player;1913;NL
johnswa01;Pitching Triple Crown;1913;AL
mcinnst01;Baseball Magazine All-Star;1914;AL
collied01;Baseball Magazine All-Star;1914;AL
bakerfr01;Baseball Magazine All-Star;1914;AL
schanwa01;Baseball Magazine All-Star;1914;AL
schalra01;Baseball Magazine All-Star;1914;AL
cobbty01;Baseball Magazine All-Star;1914;AL
jacksjo01;Baseball Magazine All-Star;1914;AL
speaktr01;Baseball Magazine All-Star;1914;AL
johnswa01;Baseball Magazine All-Star;1914;AL
leonadu01;Baseball Magazine All-Star;1914;AL
planked01;Baseball Magazine All-Star;1914;AL
barryja01;Baseball Magazine All-Star;1914;AL
daubeja01;Baseball Magazine All-Star;1914;ML
collied01;Baseball Magazine All-Star;1914;ML
bakerfr01;Baseball Magazine All-Star;1914;ML
archeji01;Baseball Magazine All-Star;1914;ML
schanwa01;Baseball Magazine All-Star;1914;ML
cobbty01;Baseball Magazine All-Star;1914;ML
jacksjo01;Baseball Magazine All-Star;1914;ML
speaktr01;Baseball Magazine All-Star;1914;ML
alexape01;Baseball Magazine All-Star;1914;ML
mathech01;Baseball Magazine All-Star;1914;ML
johnswa01;Baseball Magazine All-Star;1914;ML
maranra01;Baseball Magazine All-Star;1914;ML
daubeja01;Baseball Magazine All-Star;1914;NL
eversjo01;Baseball Magazine All-Star;1914;NL
loberha01;Baseball Magazine All-Star;1914;NL
archeji01;Baseball Magazine All-Star;1914;NL
wingoiv01;Baseball Magazine All-Star;1914;NL
burnsge01;Baseball Magazine All-Star;1914;NL
mageesh01;Baseball Magazine All-Star;1914;NL
wheatza01;Baseball Magazine All-Star;1914;NL
alexape01;Baseball Magazine All-Star;1914;NL
mathech01;Baseball Magazine All-Star;1914;NL
jamesbi02;Baseball Magazine All-Star;1914;NL
maranra01;Baseball Magazine All-Star;1914;NL
collied01;Most Valuable Player;1914;AL
eversjo01;Most Valuable Player;1914;NL
mcinnst01;Baseball Magazine All-Star;1915;AL
collied01;Baseball Magazine All-Star;1915;AL
maisefr01;Baseball Magazine All-Star;1915;AL
schalra01;Baseball Magazine All-Star;1915;AL
speaktr01;Baseball Magazine All-Star;1915;AL
cobbty01;Baseball Magazine All-Star;1915;AL
johnswa01;Baseball Magazine All-Star;1915;AL
scottji01;Baseball Magazine All-Star;1915;AL
crawfsa01;Baseball Magazine All-Star;1915;AL
bushdo01;Baseball Magazine All-Star;1915;AL
mcinnst01;Baseball Magazine All-Star;1915;ML
collied01;Baseball Magazine All-Star;1915;ML
grohhe01;Baseball Magazine All-Star;1915;ML
snydefr01;Baseball Magazine All-Star;1915;ML
speaktr01;Baseball Magazine All-Star;1915;ML
cobbty01;Baseball Magazine All-Star;1915;ML
alexape01;Baseball Magazine All-Star;1915;ML
johnswa01;Baseball Magazine All-Star;1915;ML
crawfsa01;Baseball Magazine All-Star;1915;ML
bancrda01;Baseball Magazine All-Star;1915;ML
saiervi01;Baseball Magazine All-Star;1915;NL
doylela01;Baseball Magazine All-Star;1915;NL
grohhe01;Baseball Magazine All-Star;1915;NL
snydefr01;Baseball Magazine All-Star;1915;NL
willicy01;Baseball Magazine All-Star;1915;NL
wheatza01;Baseball Magazine All-Star;1915;NL
alexape01;Baseball Magazine All-Star;1915;NL
mamaual01;Baseball Magazine All-Star;1915;NL
cravaga01;Baseball Magazine All-Star;1915;NL
bancrda01;Baseball Magazine All-Star;1915;NL
alexape01;Pitching Triple Crown;1915;NL
sislege01;Baseball Magazine All-Star;1916;AL
collied01;Baseball Magazine All-Star;1916;AL
gardnla01;Baseball Magazine All-Star;1916;AL
schalra01;Baseball Magazine All-Star;1916;AL
cobbty01;Baseball Magazine All-Star;1916;AL
jacksjo01;Baseball Magazine All-Star;1916;AL
speaktr01;Baseball Magazine All-Star;1916;AL
johnswa01;Baseball Magazine All-Star;1916;AL
ruthba01;Baseball Magazine All-Star;1916;AL
bushdo01;Baseball Magazine All-Star;1916;AL
daubeja01;Baseball Magazine All-Star;1916;ML
collied01;Baseball Magazine All-Star;1916;ML
gardnla01;Baseball Magazine All-Star;1916;ML
schalra01;Baseball Magazine All-Star;1916;ML
cobbty01;Baseball Magazine All-Star;1916;ML
jacksjo01;Baseball Magazine All-Star;1916;ML
speaktr01;Baseball Magazine All-Star;1916;ML
alexape01;Baseball Magazine All-Star;1916;ML
johnswa01;Baseball Magazine All-Star;1916;ML
maranra01;Baseball Magazine All-Star;1916;ML
daubeja01;Baseball Magazine All-Star;1916;NL
herzobu01;Baseball Magazine All-Star;1916;NL
hornsro01;Baseball Magazine All-Star;1916;NL
gowdyha01;Baseball Magazine All-Star;1916;NL
roberda01;Baseball Magazine All-Star;1916;NL
wheatza01;Baseball Magazine All-Star;1916;NL
willicy01;Baseball Magazine All-Star;1916;NL
alexape01;Baseball Magazine All-Star;1916;NL
mamaual01;Baseball Magazine All-Star;1916;NL
maranra01;Baseball Magazine All-Star;1916;NL
alexape01;Pitching Triple Crown;1916;NL
sislege01;Baseball Magazine All-Star;1917;AL
collied01;Baseball Magazine All-Star;1917;AL
weavebu01;Baseball Magazine All-Star;1917;AL
schalra01;Baseball Magazine All-Star;1917;AL
cobbty01;Baseball Magazine All-Star;1917;AL
felscha01;Baseball Magazine All-Star;1917;AL
speaktr01;Baseball Magazine All-Star;1917;AL
johnswa01;Baseball Magazine All-Star;1917;AL
cicoted01;Baseball Magazine All-Star;1917;AL
chapmra01;Baseball Magazine All-Star;1917;AL
sislege01;Baseball Magazine All-Star;1917;ML
collied01;Baseball Magazine All-Star;1917;ML
zimmehe01;Baseball Magazine All-Star;1917;ML
killebi01;Baseball Magazine All-Star;1917;ML
cobbty01;Baseball Magazine All-Star;1917;ML
roushed01;Baseball Magazine All-Star;1917;ML
speaktr01;Baseball Magazine All-Star;1917;ML
alexape01;Baseball Magazine All-Star;1917;ML
johnswa01;Baseball Magazine All-Star;1917;ML
chapmra01;Baseball Magazine All-Star;1917;ML
chaseha01;Baseball Magazine All-Star;1917;NL
herzobu01;Baseball Magazine All-Star;1917;NL
zimmehe01;Baseball Magazine All-Star;1917;NL
killebi01;Baseball Magazine All-Star;1917;NL
burnsge01;Baseball Magazine All-Star;1917;NL
careyma01;Baseball Magazine All-Star;1917;NL
roushed01;Baseball Magazine All-Star;1917;NL
alexape01;Baseball Magazine All-Star;1917;NL
coopewi01;Baseball Magazine All-Star;1917;NL
maranra01;Baseball Magazine All-Star;1917;NL
sislege01;Baseball Magazine All-Star;1918;AL
collied01;Baseball Magazine All-Star;1918;AL
bakerfr01;Baseball Magazine All-Star;1918;AL
oneilst01;Baseball Magazine All-Star;1918;AL
cobbty01;Baseball Magazine All-Star;1918;AL
hoopeha01;Baseball Magazine All-Star;1918;AL
speaktr01;Baseball Magazine All-Star;1918;AL
ruthba01;Baseball Magazine All-Star;1918;AL
johnswa01;Baseball Magazine All-Star;1918;AL
chapmra01;Baseball Magazine All-Star;1918;AL
sislege01;Baseball Magazine All-Star;1918;ML
collied01;Baseball Magazine All-Star;1918;ML
grohhe01;Baseball Magazine All-Star;1918;ML
killebi01;Baseball Magazine All-Star;1918;ML
cobbty01;Baseball Magazine All-Star;1918;ML
roushed01;Baseball Magazine All-Star;1918;ML
speaktr01;Baseball Magazine All-Star;1918;ML
ruthba01;Baseball Magazine All-Star;1918;ML
johnswa01;Baseball Magazine All-Star;1918;ML
vaughhi01;Baseball Magazine All-Star;1918;ML
holloch01;Baseball Magazine All-Star;1918;ML
daubeja01;Baseball Magazine All-Star;1918;NL
cutshge01;Baseball Magazine All-Star;1918;NL
grohhe01;Baseball Magazine All-Star;1918;NL
killebi01;Baseball Magazine All-Star;1918;NL
burnsge01;Baseball Magazine All-Star;1918;NL
roushed01;Baseball Magazine All-Star;1918;NL
wheatza01;Baseball Magazine All-Star;1918;NL
vaughhi01;Baseball Magazine All-Star;1918;NL
grimebu01;Baseball Magazine All-Star;1918;NL
holloch01;Baseball Magazine All-Star;1918;NL
johnswa01;Pitching Triple Crown;1918;AL
vaughhi01;Pitching Triple Crown;1918;NL
sislege01;Baseball Magazine All-Star;1919;AL
collied01;Baseball Magazine All-Star;1919;AL
weavebu01;Baseball Magazine All-Star;1919;AL
oneilst01;Baseball Magazine All-Star;1919;AL
cobbty01;Baseball Magazine All-Star;1919;AL
jacksjo01;Baseball Magazine All-Star;1919;AL
ruthba01;Baseball Magazine All-Star;1919;AL
johnswa01;Baseball Magazine All-Star;1919;AL
cicoted01;Baseball Magazine All-Star;1919;AL
peckiro01;Baseball Magazine All-Star;1919;AL
sislege01;Baseball Magazine All-Star;1919;ML
collied01;Baseball Magazine All-Star;1919;ML
grohhe01;Baseball Magazine All-Star;1919;ML
oneilst01;Baseball Magazine All-Star;1919;ML
cobbty01;Baseball Magazine All-Star;1919;ML
roushed01;Baseball Magazine All-Star;1919;ML
ruthba01;Baseball Magazine All-Star;1919;ML
johnswa01;Baseball Magazine All-Star;1919;ML
vaughhi01;Baseball Magazine All-Star;1919;ML
peckiro01;Baseball Magazine All-Star;1919;ML
daubeja01;Baseball Magazine All-Star;1919;NL
stockmi01;Baseball Magazine All-Star;1919;NL
grohhe01;Baseball Magazine All-Star;1919;NL
wingoiv01;Baseball Magazine All-Star;1919;NL
burnsge01;Baseball Magazine All-Star;1919;NL
myershy01;Baseball Magazine All-Star;1919;NL
roushed01;Baseball Magazine All-Star;1919;NL
vaughhi01;Baseball Magazine All-Star;1919;NL
barneje01;Baseball Magazine All-Star;1919;NL
hornsro01;Baseball Magazine All-Star;1919;NL
sislege01;Baseball Magazine All-Star;1920;AL
collied01;Baseball Magazine All-Star;1920;AL
gardnla01;Baseball Magazine All-Star;1920;AL
oneilst01;Baseball Magazine All-Star;1920;AL
ricesa01;Baseball Magazine All-Star;1920;AL
ruthba01;Baseball Magazine All-Star;1920;AL
speaktr01;Baseball Magazine All-Star;1920;AL
bagbyji01;Baseball Magazine All-Star;1920;AL
covelst01;Baseball Magazine All-Star;1920;AL
shockur01;Baseball Magazine All-Star;1920;AL
scottev01;Baseball Magazine All-Star;1920;AL
sislege01;Baseball Magazine All-Star;1920;ML
collied01;Baseball Magazine All-Star;1920;ML
grohhe01;Baseball Magazine All-Star;1920;ML
oneilst01;Baseball Magazine All-Star;1920;ML
roushed01;Baseball Magazine All-Star;1920;ML
ruthba01;Baseball Magazine All-Star;1920;ML
speaktr01;Baseball Magazine All-Star;1920;ML
alexape01;Baseball Magazine All-Star;1920;ML
bagbyji01;Baseball Magazine All-Star;1920;ML
grimebu01;Baseball Magazine All-Star;1920;ML
maranra01;Baseball Magazine All-Star;1920;ML
daubeja01;Baseball Magazine All-Star;1920;NL
hornsro01;Baseball Magazine All-Star;1920;NL
grohhe01;Baseball Magazine All-Star;1920;NL
schmiwa01;Baseball Magazine All-Star;1920;NL
roushed01;Baseball Magazine All-Star;1920;NL
wheatza01;Baseball Magazine All-Star;1920;NL
youngro01;Baseball Magazine All-Star;1920;NL
alexape01;Baseball Magazine All-Star;1920;NL
grimebu01;Baseball Magazine All-Star;1920;NL
coopewi01;Baseball Magazine All-Star;1920;NL
maranra01;Baseball Magazine All-Star;1920;NL
alexape01;Pitching Triple Crown;1920;NL
sislege01;Baseball Magazine All-Star;1921;AL
collied01;Baseball Magazine All-Star;1921;AL
gardnla01;Baseball Magazine All-Star;1921;AL
oneilst01;Baseball Magazine All-Star;1921;AL
cobbty01;Baseball Magazine All-Star;1921;AL
ruthba01;Baseball Magazine All-Star;1921;AL
speaktr01;Baseball Magazine All-Star;1921;AL
faberre01;Baseball Magazine All-Star;1921;AL
maysca01;Baseball Magazine All-Star;1921;AL
shockur01;Baseball Magazine All-Star;1921;AL
peckiro01;Baseball Magazine All-Star;1921;AL
sislege01;Baseball Magazine All-Star;1921;ML
hornsro01;Baseball Magazine All-Star;1921;ML
friscfr01;Baseball Magazine All-Star;1921;ML
oneilst01;Baseball Magazine All-Star;1921;ML
cobbty01;Baseball Magazine All-Star;1921;ML
ruthba01;Baseball Magazine All-Star;1921;ML
speaktr01;Baseball Magazine All-Star;1921;ML
grimebu01;Baseball Magazine All-Star;1921;ML
faberre01;Baseball Magazine All-Star;1921;ML
maysca01;Baseball Magazine All-Star;1921;ML
bancrda01;Baseball Magazine All-Star;1921;ML
kellyge01;Baseball Magazine All-Star;1921;NL
hornsro01;Baseball Magazine All-Star;1921;NL
friscfr01;Baseball Magazine All-Star;1921;NL
schmiwa01;Baseball Magazine All-Star;1921;NL
bigbeca01;Baseball Magazine All-Star;1921;NL
roushed01;Baseball Magazine All-Star;1921;NL
youngro01;Baseball Magazine All-Star;1921;NL
grimebu01;Baseball Magazine All-Star;1921;NL
nehfar01;Baseball Magazine All-Star;1921;NL
coopewi01;Baseball Magazine All-Star;1921;NL
bancrda01;Baseball Magazine All-Star;1921;NL
sislege01;Baseball Magazine All-Star;1922;AL
collied01;Baseball Magazine All-Star;1922;AL
duganjo01;Baseball Magazine All-Star;1922;AL
oneilst01;Baseball Magazine All-Star;1922;AL
cobbty01;Baseball Magazine All-Star;1922;AL
speaktr01;Baseball Magazine All-Star;1922;AL
willicy01;Baseball Magazine All-Star;1922;AL
bushjo01;Baseball Magazine All-Star;1922;AL
shockur01;Baseball Magazine All-Star;1922;AL
rommeed01;Baseball Magazine All-Star;1922;AL
scottev01;Baseball Magazine All-Star;1922;AL
sislege01;Baseball Magazine All-Star;1922;ML
hornsro01;Baseball Magazine All-Star;1922;ML
duganjo01;Baseball Magazine All-Star;1922;ML
oneilst01;Baseball Magazine All-Star;1922;ML
careyma01;Baseball Magazine All-Star;1922;ML
cobbty01;Baseball Magazine All-Star;1922;ML
speaktr01;Baseball Magazine All-Star;1922;ML
bushjo01;Baseball Magazine All-Star;1922;ML
rixeyep01;Baseball Magazine All-Star;1922;ML
rommeed01;Baseball Magazine All-Star;1922;ML
holloch01;Baseball Magazine All-Star;1922;ML
kellyge01;Baseball Magazine All-Star;1922;NL
hornsro01;Baseball Magazine All-Star;1922;NL
stockmi01;Baseball Magazine All-Star;1922;NL
snydefr01;Baseball Magazine All-Star;1922;NL
bigbeca01;Baseball Magazine All-Star;1922;NL
careyma01;Baseball Magazine All-Star;1922;NL
youngro01;Baseball Magazine All-Star;1922;NL
coopewi01;Baseball Magazine All-Star;1922;NL
rixeyep01;Baseball Magazine All-Star;1922;NL
ruethdu01;Baseball Magazine All-Star;1922;NL
holloch01;Baseball Magazine All-Star;1922;NL
sislege01;Most Valuable Player;1922;AL
hornsro01;Triple Crown;1922;NL
pippwa01;Baseball Magazine All-Star;1923;AL
collied01;Baseball Magazine All-Star;1923;AL
duganjo01;Baseball Magazine All-Star;1923;AL
perkicy01;Baseball Magazine All-Star;1923;AL
heilmha01;Baseball Magazine All-Star;1923;AL
ruthba01;Baseball Magazine All-Star;1923;AL
speaktr01;Baseball Magazine All-Star;1923;AL
uhlege01;Baseball Magazine All-Star;1923;AL
shockur01;Baseball Magazine All-Star;1923;AL
ehmkeho01;Baseball Magazine All-Star;1923;AL
johnswa01;Baseball Magazine All-Star;1923;AL
seweljo01;Baseball Magazine All-Star;1923;AL
grimmch01;Baseball Magazine All-Star;1923;ML
