jugadorID;nombre;apellidos;nombreDeportivo;anyoNacimiento;mesNacimiento;diaNacimiento;paisNacimiento;estadoNacimiento;ciudadNacimiento;anyoFallecimiento;mesFallecimiento;diaFallecimiento;paisFallecimiento;estadoFallecimiento;ciudadFallecimiento;peso;altura;batear;lanzar;fechaDebut;fechaRetirada
abreual01;Albert;Abreu;Albert Enmanuel;1995;9;26;D.R.;Monte Cristi;Guayubin;;;;;;;190;74;R;R;2020-08-08;2021-10-01
abreubo01;Bobby;Abreu;Bob Kelly;1974;3;11;Venezuela;Aragua;Maracay;;;;;;;220;72;L;R;1996-09-01;2014-09-28
abreubr01;Bryan;Abreu;Bryan Enrique;1997;4;22;D.R.;Distrito Nacional;Santo Domingo;;;;;;;225;73;R;R;2019-07-31;2021-08-29
abreujo01;Joe;Abreu;Joseph Lawrence;1913;5;24;USA;CA;Oakland;1993;3;17;USA;CA;Hayward;160;68;R;R;1942-04-23;1942-07-11
abreujo02;Jose;Abreu;Jose Dariel;1987;1;29;Cuba;Cienfuegos;Cienfuegos;;;;;;;235;75;R;R;2014-03-31;2021-10-02
abreuju01;Juan;Abreu;Juan de Dios;1985;4;8;D.R.;Duarte;San Francisco de Macoris;;;;;;;185;72;R;R;2011-08-29;2011-09-27
abreuto01;Tony;Abreu;Etanislao Toni;1984;11;13;D.R.;Puerto Plata;Puerto Plata;;;;;;;200;70;B;R;2007-05-22;2014-07-28
abreuwi01;Winston;Abreu;Winston Leonardo;1977;4;5;D.R.;Sanchez Ramirez;Cotui;;;;;;;170;74;R;R;2006-08-06;2009-07-25
abstebi01;Bill;Abstein;William Henry;1883;2;2;USA;MO;St. Louis;1940;4;8;USA;MO;St. Louis;185;72;R;R;1906-09-25;1910-06-02
accarje01;Jeremy;Accardo;Jeremiah Lee;1981;12;18;USA;AZ;Phoenix;;;;;;;195;72;R;R;2005-05-04;2012-09-27
aceveal01;Alfredo;Aceves;Alfredo;1982;12;8;Mexico;Sonora;San Luis Rio Colorado;;;;;;;205;74;R;R;2008-08-31;2014-06-02
acevedo01;Domingo;Acevedo;Domingo Antonio;1994;3;6;D.R.;Santiago Rodriguez;Villa Los Almacigos;;;;;;;240;79;R;R;2021-06-21;2021-10-03
acevejo01;Jose;Acevedo;Jose Omar;1977;12;18;D.R.;Distrito Nacional;Santo Domingo;;;;;;;185;72;R;R;2001-06-19;2005-09-29
aceveju01;Juan;Acevedo;Juan Carlos;1970;5;5;Mexico;Chihuahua;Ciudad Juarez;;;;;;;245;74;R;R;1995-04-30;2003-08-05
achteaj01;A. J.;Achter;Adam Joseph;1988;8;27;USA;OH;Toledo;;;;;;;215;77;R;R;2014-09-03;2016-10-01
ackerji01;Jim;Acker;James Justin;1958;9;24;USA;TX;Freer;;;;;;;210;74;R;R;1983-04-07;1992-06-14
ackerto01;Tom;Acker;Thomas James;1930;3;7;USA;NJ;Paterson;2021;1;4;USA;PA;Narvon;215;76;R;R;1956-04-20;1959-09-20
ackledu01;Dustin;Ackley;Dustin Michael;1988;2;26;USA;NC;Winston-Salem;;;;;;;205;73;L;R;2011-06-17;2016-05-29
acklefr01;Fritz;Ackley;Florian Frederick;1937;4;10;USA;WI;Hayward;2002;5;22;USA;MN;Duluth;202;73;L;R;1963-09-21;1964-05-09
acostcy01;Cy;Acosta;Cecilio;1946;11;22;Mexico;Sinaloa;El Sabino;;;;;;;165;70;R;R;1972-06-04;1975-05-05
acosted01;Ed;Acosta;Eduardo Elixbet;1944;3;9;Panama;Chiriqui;Boquete;;;;;;;215;77;B;R;1970-09-07;1972-10-04
acostjo01;Jose;Acosta;Jose;1891;3;4;Cuba;La Habana;La Habana;1977;11;16;Cuba;La Habana;La Habana;134;66;R;R;1920-07-28;1922-05-12
acostma01;Manny;Acosta;Manuel Alcides;1981;5;1;Panama;Colon;Colon;;;;;;;215;76;R;R;2007-08-12;2012-10-03
acostme01;Merito;Acosta;Baldomero Pedro;1896;5;19;Cuba;Artemisa;Bauta;1963;11;17;USA;FL;Miami;140;67;L;L;1913-06-05;1918-09-02
acrema01;Mark;Acre;Mark Robert;1968;9;16;USA;CA;Concord;;;;;;;235;80;R;R;1994-05-13;1997-05-10
actama99;Manny;Acta;Manuel Elias;1969;1;11;D.R.;San Pedro de Macoris;San Pedro de Macoris;;;;;;;172;74;R;R;;
acunaro01;Ronald;Acuna;Ronald Jose;1997;12;18;Venezuela;La Guaira;La Guaira;;;;;;;205;72;R;R;2018-04-25;2021-07-10
adairbi99;Bill;Adair;Marion Danne;1913;2;10;USA;AL;Mobile;2002;6;17;USA;AL;Bay Minette;168;72;R;R;;
adairje01;Jerry;Adair;Kenneth Jerry;1936;12;17;USA;OK;Sand Springs;1987;5;31;USA;OK;Tulsa;175;72;R;R;1958-09-02;1970-05-03
adairji01;Jimmy;Adair;James Aubrey;1907;1;25;USA;TX;Waxahachie;1982;12;9;USA;TX;Farmers Branch;154;70;R;R;1931-08-24;1931-09-07
adamecr01;Cristhian;Adames;Cristhian Pascual;1991;7;26;D.R.;Distrito Nacional;Santo Domingo;;;;;;;217;71;B;R;2014-07-29;2019-09-29
adamewi01;Willy;Adames;Willy Rafael;1995;9;2;D.R.;Santiago;Santiago;;;;;;;210;72;R;R;2018-05-22;2021-10-03
adamja01;Jason;Adam;Jason Kendall;1991;8;4;USA;NE;Omaha;;;;;;;229;75;R;R;2018-05-05;2021-10-02
adamsac01;Ace;Adams;Ace Townsend;1910;3;2;USA;CA;Willows;2006;2;26;USA;GA;Albany;182;70;R;R;1941-04-15;1946-04-24
adamsau01;Austin;Adams;Austin David;1986;8;19;USA;AL;Montgomery;;;;;;;205;71;R;R;2014-07-12;2019-07-06
adamsau02;Austin;Adams;Austin Lance;1991;5;5;USA;FL;Tampa;;;;;;;220;75;R;R;2017-07-15;2021-09-30
adamsba01;Babe;Adams;Charles Benjamin;1882;5;18;USA;IN;Tipton;1968;7;27;USA;MD;Silver Spring;185;71;L;R;1906-04-18;1926-08-11
adamsbe01;Bert;Adams;John Bertram;1891;6;21;USA;TX;Wharton;1940;6;24;USA;CA;Los Angeles;185;73;B;R;1910-08-30;1919-09-28
adamsbo01;Bob;Adams;Robert Burnette;1901;7;24;USA;MA;Holyoke;1996;10;17;USA;PA;Lemoyne;168;71;R;R;1925-09-22;1925-09-23
adamsbo02;Bob;Adams;Robert Andrew;1907;1;20;USA;AL;Birmingham;1970;3;6;USA;FL;Jacksonville;165;72;R;R;1931-09-27;1932-09-17
adamsbo03;Bobby;Adams;Robert Henry;1921;12;14;USA;CA;Tuolumne;1997;2;13;USA;WA;Gig Harbor;160;70;R;R;1946-04-16;1959-04-22
adamsbo04;Bob;Adams;Robert Melvin;1952;1;6;USA;PA;Pittsburgh;;;;;;;200;74;R;R;1977-07-10;1977-09-29
adamsbu01;Buster;Adams;Elvin Clark;1915;6;24;USA;CO;Trinidad;1990;9;1;USA;CA;Rancho Mirage;180;72;R;R;1939-04-27;1947-09-21
adamsch01;Chance;Adams;Chance;1994;8;10;USA;AZ;Scottsdale;;;;;;;215;73;R;R;2018-08-04;2020-09-22
adamsda01;Dan;Adams;Daniel Leslie;1887;6;19;USA;MO;St. Louis;1964;10;6;USA;MO;St. Louis;165;71;R;R;1914-05-22;1915-09-26
adamsda02;David;Adams;David Lee;1987;5;15;USA;FL;Margate;;;;;;;205;74;R;R;2013-05-15;2013-09-29
adamsdi01;Dick;Adams;Richard Leroy;1920;4;8;USA;CA;Tuolumne;2016;9;14;USA;CA;Fallbrook;185;72;R;L;1947-05-20;1947-09-28
adamsdo01;Doug;Adams;Harold Douglas;1943;1;27;USA;WI;Blue River;;;;;;;185;75;L;R;1969-09-08;1969-10-01
adamsge01;George;Adams;George Henry;1855;1;25;USA;MA;Worcester;1920;10;11;USA;WA;Clarkston;175;66;R;R;1879-06-14;1879-06-21
adamsgl01;Glenn;Adams;Glenn Charles;1947;10;4;USA;MA;Northbridge;;;;;;;180;73;L;R;1975-05-04;1982-10-03
adamshe01;Herb;Adams;Herbert Loren;1928;4;14;USA;CA;Hollywood;2012;2;1;USA;OK;Tulsa;160;69;L;L;1948-09-17;1950-08-30
adamsji01;Jim;Adams;James J.;1868;;;USA;IL;East St. Louis;;;;;;;148;66;;R;1890-04-21;1890-04-21
adamsjo01;Joe;Adams;Joseph Edward;1877;10;28;USA;IL;Cowden;1952;10;8;USA;MO;Bachelor;190;72;R;L;1902-04-26;1902-04-26
adamsjo02;Joel;Adamson;Joel Lee;1971;7;2;USA;CA;Lakewood;;;;;;;185;76;L;L;1996-04-10;1998-04-26
adamska01;Karl;Adams;Karl Tutwiler;1891;8;11;USA;GA;Columbus;1967;9;17;USA;WA;Everett;170;74;R;R;1914-04-19;1915-09-23
adamsla01;Lane;Adams;Lane Weston;1989;11;13;USA;OK;Talihina;;;;;;;190;76;R;R;2014-09-01;2018-09-30
adamsma01;Matt;Adams;Matthew James;1988;8;31;USA;PA;Philipsburg;;;;;;;245;75;L;R;2012-05-20;2021-07-24
adamsmi01;Mike;Adamson;John Michael;1947;9;13;USA;CA;San Diego;;;;;;;185;74;R;R;1967-07-01;1969-05-07
adamsmi02;Mike;Adams;Robert Michael;1948;7;24;USA;OH;Cincinnati;;;;;;;180;69;R;R;1972-09-10;1978-07-25
adamsmi03;Mike;Adams;Jon Michael;1978;7;29;USA;TX;Corpus Christi;;;;;;;210;77;R;R;2004-05-18;2014-09-18
adamsre01;Red;Adams;Charles Dwight;1921;10;7;USA;CA;Parlier;2017;1;18;USA;CA;Fresno;185;72;R;R;1946-05-05;1946-07-02
adamsri01;Rick;Adams;Reuben Alexander;1878;12;24;USA;TX;Paris;1955;3;10;USA;TX;Paris;165;72;L;L;1905-07-13;1905-09-29
adamsri02;Ricky;Adams;Ricky Lee;1959;1;21;USA;CA;Upland;2011;10;28;USA;CA;Rancho Cucamonga;180;74;R;R;1982-09-15;1985-10-05
adamsri03;Riley;Adams;Riley Keaton;1996;6;26;USA;CA;Encinitas;;;;;;;246;76;R;R;2021-06-08;2021-10-03
adamsru01;Russ;Adams;Russ Moore;1980;8;30;USA;NC;Laurinburg;;;;;;;205;72;L;R;2004-09-03;2009-06-30
adamsry01;Ryan;Adams;Ryan Scott;1987;4;21;USA;LA;New Orleans;;;;;;;185;71;R;R;2011-05-20;2011-09-19
adamssp01;Sparky;Adams;Earl John;1894;8;26;USA;PA;Zerbe;1989;2;24;USA;PA;Pottsville;151;65;R;R;1922-09-18;1934-09-30
adamssp02;Spencer;Adams;Spencer Dewey;1898;6;21;USA;UT;Layton;1970;11;24;USA;UT;Salt Lake City;158;69;L;R;1923-04-22;1927-10-02
adamste01;Terry;Adams;Terry Wayne;1973;3;6;USA;AL;Mobile;;;;;;;180;75;R;R;1995-08-10;2005-05-23
adamswi01;Willie;Adams;James Irvin;1890;9;27;USA;PA;Clearfield;1937;6;18;USA;NY;Albany;180;76;R;R;1912-06-30;1919-09-06
adamswi02;Willie;Adams;William Edward;1972;10;8;USA;NM;Gallup;;;;;;;215;79;R;R;1996-06-11;1997-08-14
adcocjo01;Joe;Adcock;Joseph Wilbur;1927;10;30;USA;LA;Coushatta;1999;5;3;USA;LA;Coushatta;210;76;R;R;1950-04-23;1966-10-01
adcocna01;Nathan;Adcock;Nathan Masler;1988;2;25;USA;KY;Elizabethtown;;;;;;;235;76;R;R;2011-03-31;2015-07-26
addisbo01;Bob;Addis;Robert Gordon;1925;11;6;USA;OH;Mineral;2016;11;15;USA;OH;Mentor;175;72;L;R;1950-09-01;1953-06-12
adducji01;Jim;Adduci;James David;1959;8;9;USA;IL;Chicago;;;;;;;200;77;L;L;1983-09-12;1989-07-26
adducji02;Jim;Adduci;Jim Charles;1985;5;15;CAN;BC;Burnaby;;;;;;;210;74;L;L;2013-09-01;2019-06-01
addybo01;Bob;Addy;Robert Edward;1842;2;;CAN;ON;Port Hope;1910;4;9;USA;ID;Pocatello;160;68;L;L;1871-05-06;1877-10-06
adelljo01;Jo;Adell;Jordon Scott;1999;4;8;USA;NC;Shelby;;;;;;;215;75;R;R;2020-08-04;2021-09-11
adenhni01;Nick;Adenhart;Nicholas James;1986;8;24;USA;MD;Silver Spring;2009;4;9;USA;CA;Orange;185;75;R;R;2008-05-01;2009-04-08
aderhmo01;Morrie;Aderholt;Morris Woodrow;1915;9;13;USA;NC;Mount Olive;1955;3;18;USA;FL;Sarasota;188;73;L;R;1939-09-13;1945-09-30
adkinde01;Dewey;Adkins;John Dewey;1918;5;11;USA;KS;Norcatur;1998;12;26;USA;CA;Santa Monica;195;74;R;R;1942-09-19;1949-10-02
adkindi01;Dick;Adkins;Richard Earl;1920;3;3;USA;TX;Electra;1955;9;12;USA;TX;Electra;165;70;R;R;1942-09-19;1942-09-20
adkindo01;Doc;Adkins;Merle Theron;1872;8;5;USA;WI;Troy;1934;2;21;USA;NC;Durham;220;70;R;R;1902-06-24;1903-09-29
adkingr01;Grady;Adkins;Grady Emmett;1897;6;29;USA;AR;Jacksonville;1966;3;31;USA;AR;Little Rock;175;71;R;R;1928-04-13;1929-10-05
adkinhe01;Harry;Atkinson;John Harry;1874;1;19;USA;MO;Fulton;1953;1;2;USA;MO;Mexico;;;;;1895-09-25;1895-09-25
adkinjo01;Jon;Adkins;Jonathan Scott;1977;8;30;USA;WV;Huntington;;;;;;;200;72;L;R;2003-08-14;2008-09-27
adkinst01;Steve;Adkins;Steven Thomas;1964;10;26;USA;IL;Chicago;;;;;;;210;78;R;L;1990-09-12;1990-10-03
adlemti01;Tim;Adleman;Timothy Max;1987;11;13;USA;NY;Staten Island;;;;;;;225;77;R;R;2016-05-01;2017-09-19
adlesda01;Dave;Adlesh;David George;1943;7;15;USA;CA;Long Beach;2016;2;15;USA;CA;Long Beach;187;72;R;R;1963-05-12;1968-09-28
adonjo01;Joan;Adon;Joan Manuel;1998;8;12;D.R.;Distrito Nacional;Santo Domingo;;;;;;;242;74;R;R;2021-10-03;2021-10-03
adriaeh01;Ehire;Adrianza;Ehire Enrique;1989;8;21;Venezuela;Miranda;Guarenas;;;;;;;195;73;B;R;2013-09-08;2021-10-03
afenitr01;Troy;Afenir;Michael Troy;1963;9;21;USA;CA;Escondido;;;;;;;185;76;R;R;1987-09-14;1992-07-10
affelje01;Jeremy;Affeldt;Jeremy David;1979;6;6;USA;AZ;Phoenix;;;;;;;225;76;L;L;2002-04-06;2015-10-04
agbaybe01;Benny;Agbayani;Benny Peter;1971;12;28;USA;HI;Honolulu;;;;;;;225;72;R;R;1998-06-17;2002-09-29
ageeto01;Tommie;Agee;Tommie Lee;1942;8;9;USA;AL;Magnolia;2001;1;22;USA;NY;New York;195;71;R;R;1962-09-14;1973-09-30
agganha01;Harry;Agganis;Harry;1929;4;20;USA;MA;Lynn;1955;6;27;USA;MA;Cambridge;200;74;L;L;1954-04-13;1955-06-02
aglerjo01;Joe;Agler;Joseph Abram;1887;6;12;USA;OH;Coshocton;1971;4;26;USA;OH;Massillon;165;71;L;L;1912-10-01;1915-10-02
agnewsa01;Sam;Agnew;Samuel Lester;1887;4;12;USA;MO;Farmington;1951;7;19;USA;CA;Sonoma;185;71;R;R;1913-04-10;1919-09-28
agostju01;Juan;Agosto;Juan Roberto;1958;2;23;P.R.;;Rio Piedras;;;;;;;190;74;L;L;1981-09-07;1993-06-19
agrazda01;Dario;Agrazal;Dario Abdiel;1994;12;28;Panama;Cocle;Aguadulce;;;;;;;225;74;R;R;2019-06-15;2019-09-25
aguaylu01;Luis;Aguayo;Luis;1959;3;13;P.R.;;Vega Baja;;;;;;;173;69;R;R;1980-04-19;1989-09-30
aguilch01;Chris;Aguila;Christopher Louis;1979;2;23;USA;CA;Redwood City;;;;;;;200;71;R;R;2004-06-28;2008-07-10
aguilje01;Jesus;Aguilar;Jesus Alexander;1990;6;30;Venezuela;Aragua;Maracay;;;;;;;277;75;R;R;2014-05-15;2021-09-05
aguilmi01;Miguel;Aguilar;Miguel Armando;1991;9;26;Mexico;Sonora;Ciudad Obregon;;;;;;;194;68;L;L;2021-07-30;2021-09-12
aguilri01;Rick;Aguilera;Richard Warren;1961;12;31;USA;CA;San Gabriel;;;;;;;195;76;R;R;1985-06-12;2000-09-06
aguirha01;Hank;Aguirre;Henry John;1931;1;31;USA;CA;Azusa;1994;9;5;USA;MI;Bloomfield Hills;205;76;R;L;1955-09-10;1970-06-24
ahearch01;Bill;Ahearn;William H.;1858;;;USA;NY;Troy;1919;4;28;USA;NY;Troy;;;;;1880-06-19;1880-06-19
ahearpa01;Pat;Ahearne;Patrick Howard;1969;12;10;USA;CA;San Francisco;;;;;;;195;75;R;R;1995-06-14;1995-06-30
ahmedni01;Nick;Ahmed;Nicholas Mark;1990;3;15;USA;MA;East Longmeadow;;;;;;;201;74;R;R;2014-06-29;2021-09-17
aikenwi01;Willie;Aikens;Willie Mays;1954;10;14;USA;SC;Seneca;;;;;;;220;75;L;R;1977-05-17;1985-04-27
aingeda01;Danny;Ainge;Daniel Ray;1959;3;17;USA;OR;Eugene;;;;;;;175;76;R;R;1979-05-21;1981-09-22
ainsmed01;Eddie;Ainsmith;Edward Wilbur;1890;2;4;Russia;;;1981;9;6;USA;FL;Fort Lauderdale;180;71;R;R;1910-08-09;1924-07-21
ainswku01;Kurt;Ainsworth;Kurt Harold;1978;9;9;USA;LA;Baton Rouge;;;;;;;192;75;R;R;2001-09-05;2004-05-14
aitchra01;Raleigh;Aitchison;Raleigh Leonidas;1887;12;5;USA;SD;Tyndall;1958;9;26;USA;KS;Columbus;175;71;R;L;1911-04-19;1915-06-20
aitonge01;George;Aiton;George Wilson;1890;12;29;USA;KS;Kingman;1976;8;16;USA;CA;North Hollywood;175;71;B;R;1912-06-29;1912-07-28
akejo01;John;Ake;John Leckie;1861;8;29;USA;PA;Altoona;1887;5;11;USA;WI;La Crosse;180;73;R;R;1884-05-12;1884-07-15
akerfda01;Darrel;Akerfelds;Darrel Wayne;1962;6;12;USA;CO;Denver;2012;6;24;USA;AZ;Phoenix;210;74;R;R;1986-08-01;1991-07-02
akerja01;Jack;Aker;Jackie Delane;1940;7;13;USA;CA;Tulare;;;;;;;190;74;R;R;1964-05-03;1974-09-27
akersbi01;Bill;Akers;William G.;1904;12;25;USA;TN;Chattanooga;1962;4;13;USA;TN;Chattanooga;178;71;R;R;1929-09-08;1932-07-27
akersje01;Jerry;Akers;Albert Earl;1887;11;1;USA;IN;Shelbyville;1979;5;15;USA;FL;Bay Pines;175;71;R;R;1912-05-04;1912-05-25
akinke01;Keegan;Akin;Keegan Lee;1995;4;1;USA;MI;Alma;;;;;;;235;71;L;L;2020-08-14;2021-09-22
akiyash01;Shogo;Akiyama;Shogo;1988;4;16;Japan;Kanagawa;Yokosuka;;;;;;;182;72;L;R;2020-07-24;2021-09-16
alanirj01;R. J.;Alaniz;Ruben;1991;6;14;USA;TX;McAllen;;;;;;;220;76;R;R;2019-04-12;2021-07-23
albagi01;Gibson;Alba;Gibson Alberto;1960;1;18;D.R.;Santiago;Santiago;;;;;;;160;74;L;L;1988-05-03;1988-05-08
albaljo01;Jonathan;Albaladejo;Jonathan;1982;10;30;P.R.;;San Juan;;;;;;;270;77;R;R;2007-09-05;2012-07-20
albanjo01;Joe;Albanese;Joseph Peter;1933;6;26;USA;NY;New York;2000;6;17;USA;NY;New York;215;75;R;R;1958-07-18;1958-09-09
alberan01;Andrew;Albers;Andrew William;1985;10;6;CAN;SK;North Battleford;;;;;;;200;73;R;L;2013-08-06;2021-09-15
alberbu01;Butch;Alberts;Francis Burt;1950;5;4;USA;PA;Williamsport;;;;;;;205;74;R;R;1978-09-07;1978-09-28
albercy01;Cy;Alberts;Frederick Joseph;1882;1;14;USA;MI;Grand Rapids;1917;8;27;USA;IN;Fort Wayne;230;72;R;R;1910-09-17;1910-10-12
albergu01;Gus;Alberts;Augustus Peter;1860;9;;USA;PA;Reading;1912;5;7;USA;CO;Idaho Springs;180;66;R;R;1884-05-01;1891-09-22
alberha01;Hanser;Alberto;Hanser Joel;1992;10;17;D.R.;Duarte;San Francisco de Macoris;;;;;;;215;71;R;R;2015-05-29;2021-10-03
alberjo01;Jose;Alberro;Jose Edgardo;1969;6;29;P.R.;;San Juan;;;;;;;190;74;R;R;1995-04-27;1997-08-05
alberma01;Matt;Albers;Matthew James;1983;1;20;USA;TX;Houston;;;;;;;225;73;L;R;2006-07-25;2019-09-28
albieoz01;Ozzie;Albies;Ozhaino Jurdy Jiandro;1997;1;7;Curacao;;Willemstad;;;;;;;165;68;B;R;2017-08-01;2021-10-03
albosed01;Ed;Albosta;Edward John;1918;10;27;USA;MI;Saginaw;2003;1;7;USA;MI;Saginaw;175;73;R;R;1941-09-03;1946-09-24
albreed01;Ed;Albrecht;Edward Arthur;1929;2;28;USA;MO;St. Louis;1979;12;29;USA;IL;Centreville;165;70;R;R;1949-10-02;1950-04-26
albrija01;Jack;Albright;Harold John;1921;6;30;USA;FL;St. Petersburg;1991;7;22;USA;CA;San Diego;175;69;R;R;1947-05-19;1947-07-27
albural01;Al;Alburquerque;Alberto Jose;1986;6;10;D.R.;San Pedro de Macoris;San Pedro de Macoris;;;;;;;195;72;R;R;2011-04-15;2017-09-30
alburvi01;Vic;Albury;Victor;1947;5;12;USA;FL;Key West;2017;4;18;USA;FL;Tampa;190;72;L;L;1973-08-07;1976-09-26
alcaljo01;Jorge;Alcala;Jorge Luis;1995;7;28;D.R.;San Cristobal;Bajos de Haina;;;;;;;205;75;R;R;2019-09-21;2021-10-03
alcalsa01;Santo;Alcala;Santo;1952;12;23;D.R.;San Pedro de Macoris;San Pedro de Macoris;;;;;;;195;77;R;R;1976-04-10;1977-09-25
alcanar01;Arismendy;Alcantara;Arismendy;1991;10;29;D.R.;Distrito Nacional;Santo Domingo;;;;;;;170;70;B;R;2014-07-09;2017-08-09
alcanis01;Israel;Alcantara;Israel;1973;5;6;D.R.;Peravia;Bani;;;;;;;180;74;R;R;2000-06-25;2002-08-22
alcanra01;Raul;Alcantara;Raul;1992;12;4;D.R.;Barahona;Barahona;;;;;;;220;76;R;R;2016-09-05;2017-09-29
alcansa01;Sandy;Alcantara;Sandy;1995;9;7;D.R.;Azua;Azua;;;;;;;200;77;R;R;2017-09-03;2021-10-01
